ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000005073	3207	HOXA11	homeobox A11
ENSG00000005075	5439	POLR2J	RNA polymerase II subunit J
ENSG00000005100	56919	DHX33	DEAH-box helicase 33
ENSG00000005102	4222	MEOX1	mesenchyme homeobox 1
ENSG00000005108	221981	THSD7A	thrombospondin type 1 domain containing 7A
ENSG00000005156	3980	LIG3	DNA ligase 3
ENSG00000005175	79657	RPAP3	RNA polymerase II associated protein 3
ENSG00000005187	6296	ACSM3	acyl-CoA synthetase medium-chain family member 3
ENSG00000005189	81691	LOC81691	exonuclease NEF-sp
ENSG00000005194	57019	CIAPIN1	cytokine induced apoptosis inhibitor 1
ENSG00000005206	56928	SPPL2B	signal peptide peptidase like 2B
ENSG00000005238	80256	FAM214B	family with sequence similarity 214 member B
ENSG00000005243	51226	COPZ2	coatomer protein complex subunit zeta 2
ENSG00000005249	5577	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302	10943	MSL3	male-specific lethal 3 homolog (Drosophila)
ENSG00000005339	1387	CREBBP	CREB binding protein
ENSG00000005379	9256	TSPOAP1	TSPO associated protein 1
ENSG00000005381	4353	MPO	myeloperoxidase
ENSG00000005421	5444	PON1	paraoxonase 1
ENSG00000005436	6936	GCFC2	GC-rich sequence DNA-binding factor 2
ENSG00000005448	84058	WDR54	WD repeat domain 54
ENSG00000005469	54677	CROT	carnitine O-octanoyltransferase
ENSG00000005471	5244	ABCB4	ATP binding cassette subfamily B member 4
ENSG00000005483	55904	KMT2E	lysine methyltransferase 2E
ENSG00000005486	57414	RHBDD2	rhomboid domain containing 2
ENSG00000005513	30812	SOX8	SRY-box 8
ENSG00000005700	25998	IBTK	inhibitor of Bruton tyrosine kinase
ENSG00000005801	7748	ZNF195	zinc finger protein 195
ENSG00000005810	23077	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase
ENSG00000005812	26224	FBXL3	F-box and leucine rich repeat protein 3
ENSG00000005844	3683	ITGAL	integrin subunit alpha L
ENSG00000005882	5164	PDK2	pyruvate dehydrogenase kinase 2
ENSG00000005884	3675	ITGA3	integrin subunit alpha 3
ENSG00000005889	7543	ZFX	zinc finger protein, X-linked
ENSG00000005893	3920	LAMP2	lysosomal associated membrane protein 2
ENSG00000005961	3674	ITGA2B	integrin subunit alpha 2b
ENSG00000005981	51666	ASB4	ankyrin repeat and SOCS box containing 4
ENSG00000006007	51573	GDE1	glycerophosphodiester phosphodiesterase 1
ENSG00000006015	55049	C19orf60	chromosome 19 open reading frame 60
ENSG00000006016	9244	CRLF1	cytokine receptor like factor 1
ENSG00000006025	114881	OSBPL7	oxysterol binding protein like 7
ENSG00000006042	26022	TMEM98	transmembrane protein 98
ENSG00000006047	51087	YBX2	Y-box binding protein 2
ENSG00000006059	3883	KRT33A	keratin 33A
ENSG00000006062	9020	MAP3K14	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071	6833	ABCC8	ATP binding cassette subfamily C member 8
ENSG00000006116	10368	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3
ENSG00000006118	54972	TMEM132A	transmembrane protein 132A
ENSG00000006125	163	AP2B1	adaptor related protein complex 2 beta 1 subunit
ENSG00000006128	6863	TAC1	tachykinin precursor 1
ENSG00000006194	10127	ZNF263	zinc finger protein 263
ENSG00000006210	6376	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000006282	64847	SPATA20	spermatogenesis associated 20
ENSG00000006283	8913	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327	51330	TNFRSF12A	TNF receptor superfamily member 12A
ENSG00000006377	1750	DLX6	distal-less homeobox 6
ENSG00000006432	4293	MAP3K9	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451	5898	RALA	RAS like proto-oncogene A
ENSG00000006453	55971	BAIAP2L1	BAI1 associated protein 2 like 1
ENSG00000006459	80853	KDM7A	lysine demethylase 7A
ENSG00000006468	2115	ETV1	ETS variant 1
ENSG00000006530	55750	AGK	acylglycerol kinase
ENSG00000006534	221	ALDH3B1	aldehyde dehydrogenase 3 family member B1
ENSG00000006555	55001	TTC22	tetratricopeptide repeat domain 22
ENSG00000006576	57157	PHTF2	putative homeodomain transcription factor 2
ENSG00000006606	10344	CCL26	C-C motif chemokine ligand 26
ENSG00000006607	9855	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2
ENSG00000006611	10083	USH1C	USH1 protein network component harmonin
ENSG00000006625	79017	GGCT	gamma-glutamylcyclotransferase
ENSG00000006634	10926	DBF4	DBF4 zinc finger
ENSG00000006638	6915	TBXA2R	thromboxane A2 receptor
ENSG00000006652	3475	IFRD1	interferon related developmental regulator 1
ENSG00000006659	56891	LGALS14	galectin 14
ENSG00000006695	1352	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor
ENSG00000006704	9569	GTF2IRD1	GTF2I repeat domain containing 1
ENSG00000006712	54623	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000006715	27072	VPS41	VPS41, HOPS complex subunit
ENSG00000006740	9912	ARHGAP44	Rho GTPase activating protein 44
ENSG00000006744	60528	ELAC2	elaC ribonuclease Z 2
ENSG00000006747	85477	SCIN	scinderin
ENSG00000006756	414	ARSD	arylsulfatase D
ENSG00000006757	8228	PNPLA4	patatin like phospholipase domain containing 4
ENSG00000006788	8735	MYH13	myosin heavy chain 13
ENSG00000006831	79602	ADIPOR2	adiponectin receptor 2
ENSG00000006837	51265	CDKL3	cyclin dependent kinase like 3
ENSG00000007001	151531	UPP2	uridine phosphorylase 2
ENSG00000007038	10942	PRSS21	protease, serine 21
ENSG00000007047	57787	MARK4	microtubule affinity regulating kinase 4
ENSG00000007062	8842	PROM1	prominin 1
ENSG00000007080	115098	CCDC124	coiled-coil domain containing 124
ENSG00000007129	90273	CEACAM21	carcinoembryonic antigen related cell adhesion molecule 21
ENSG00000007168	5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007171	4843	NOS2	nitric oxide synthase 2
ENSG00000007174	1770	DNAH9	dynein axonemal heavy chain 9
ENSG00000007202	9703	KIAA0100	KIAA0100
ENSG00000007216	9058	SLC13A2	solute carrier family 13 member 2
ENSG00000007237	8522	GAS7	growth arrest specific 7
ENSG00000007255	79090	TRAPPC6A	trafficking protein particle complex 6A
ENSG00000007264	4145	MATK	megakaryocyte-associated tyrosine kinase
ENSG00000007306	1087	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7
ENSG00000007312	974	CD79B	CD79b molecule
ENSG00000007314	6329	SCN4A	sodium voltage-gated channel alpha subunit 4
ENSG00000007341	54879	ST7L	suppression of tumorigenicity 7 like
ENSG00000007350	8277	TKTL1	transketolase like 1
ENSG00000007372	5080	PAX6	paired box 6
ENSG00000007376	113000	RPUSD1	RNA pseudouridylate synthase domain containing 1
ENSG00000007384	64285	RHBDF1	rhomboid 5 homolog 1
ENSG00000007392	55692	LUC7L	LUC7 like
ENSG00000007402	9254	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
ENSG00000007516	8938	BAIAP3	BAI1 associated protein 3
ENSG00000007520	115939	TSR3	TSR3, acp transferase ribosome maturation factor
ENSG00000007541	9091	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545	57585	CRAMP1	cramped chromatin regulator homolog 1
ENSG00000007866	7005	TEAD3	TEA domain transcription factor 3
ENSG00000007908	6401	SELE	selectin E
ENSG00000007923	55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007933	2328	FMO3	flavin containing monooxygenase 3
ENSG00000007944	29116	MYLIP	myosin regulatory light chain interacting protein
ENSG00000007952	27035	NOX1	NADPH oxidase 1
ENSG00000007968	1870	E2F2	E2F transcription factor 2
ENSG00000008018	5689	PSMB1	proteasome subunit beta 1
ENSG00000008056	6853	SYN1	synapsin I
ENSG00000008083	3720	JARID2	jumonji and AT-rich interaction domain containing 2
ENSG00000008086	6792	CDKL5	cyclin dependent kinase like 5
ENSG00000008118	57172	CAMK1G	calcium/calmodulin dependent protein kinase IG
ENSG00000008128	728642	CDK11A	cyclin dependent kinase 11A
ENSG00000008130	65220	NADK	NAD kinase
ENSG00000008196	7021	TFAP2B	transcription factor AP-2 beta
ENSG00000008197	83741	TFAP2D	transcription factor AP-2 delta
ENSG00000008226	9940	DLEC1	deleted in lung and esophageal cancer 1
ENSG00000008256	9265	CYTH3	cytohesin 3
ENSG00000008277	53616	ADAM22	ADAM metallopeptidase domain 22
ENSG00000008282	6856	SYPL1	synaptophysin like 1
ENSG00000008283	1534	CYB561	cytochrome b561
ENSG00000008294	9043	SPAG9	sperm associated antigen 9
ENSG00000008300	1951	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008311	10157	AASS	aminoadipate-semialdehyde synthase
ENSG00000008323	55200	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324	51188	SS18L2	SS18 like 2
ENSG00000008382	84954	MPND	MPN domain containing
ENSG00000008394	4257	MGST1	microsomal glutathione S-transferase 1
ENSG00000008405	1407	CRY1	cryptochrome circadian clock 1
ENSG00000008438	8993	PGLYRP1	peptidoglycan recognition protein 1
ENSG00000008441	4784	NFIX	nuclear factor I X
ENSG00000008513	6482	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ENSG00000008516	64386	MMP25	matrix metallopeptidase 25
ENSG00000008517	9235	IL32	interleukin 32
ENSG00000008710	5310	PKD1	polycystin 1, transient receptor potential channel interacting
ENSG00000008735	23542	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838	9862	MED24	mediator complex subunit 24
ENSG00000008853	23221	RHOBTB2	Rho related BTB domain containing 2
ENSG00000008869	54497	HEATR5B	HEAT repeat containing 5B
ENSG00000008952	7095	SEC62	SEC62 homolog, preprotein translocation factor
ENSG00000008988	6224	RPS20	ribosomal protein S20
ENSG00000009307	7812	CSDE1	cold shock domain containing E1
ENSG00000009335	9690	UBE3C	ubiquitin protein ligase E3C
ENSG00000009413	5980	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit
ENSG00000009694	10178	TENM1	teneurin transmembrane protein 1
ENSG00000009709	5081	PAX7	paired box 7
ENSG00000009724	10747	MASP2	mannan binding lectin serine peptidase 2
ENSG00000009765	389434	IYD	iodotyrosine deiodinase
ENSG00000009780	199870	FAM76A	family with sequence similarity 76 member A
ENSG00000009790	80342	TRAF3IP3	TRAF3 interacting protein 3
ENSG00000009830	29954	POMT2	protein O-mannosyltransferase 2
ENSG00000009844	51534	VTA1	vesicle trafficking 1
ENSG00000009950	51085	MLXIPL	MLX interacting protein like
ENSG00000009954	9031	BAZ1B	bromodomain adjacent to zinc finger domain 1B
ENSG00000010017	10048	RANBP9	RAN binding protein 9
ENSG00000010030	51513	ETV7	ETS variant 7
ENSG00000010072	83932	SPRTN	SprT-like N-terminal domain
ENSG00000010165	51603	METTL13	methyltransferase like 13
ENSG00000010219	8798	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
ENSG00000010244	7756	ZNF207	zinc finger protein 207
ENSG00000010256	7384	UQCRC1	ubiquinol-cytochrome c reductase core protein I
ENSG00000010270	83930	STARD3NL	STARD3 N-terminal like
ENSG00000010278	928	CD9	CD9 molecule
ENSG00000010282	57467	HHATL	hedgehog acyltransferase-like
ENSG00000010292	9918	NCAPD2	non-SMC condensin I complex subunit D2
ENSG00000010295	25900	IFFO1	intermediate filament family orphan 1
ENSG00000010310	2696	GIPR	gastric inhibitory polypeptide receptor
ENSG00000010318	51533	PHF7	PHD finger protein 7
ENSG00000010319	56920	SEMA3G	semaphorin 3G
ENSG00000010322	11188	NISCH	nischarin
ENSG00000010327	23166	STAB1	stabilin 1
ENSG00000010361	80199	FUZ	fuzzy planar cell polarity protein
ENSG00000010379	6540	SLC6A13	solute carrier family 6 member 13
ENSG00000010404	3423	IDS	iduronate 2-sulfatase
ENSG00000010438	5646	PRSS3	protease, serine 3
ENSG00000010539	7752	ZNF200	zinc finger protein 200
ENSG00000010610	920	CD4	CD4 molecule
ENSG00000010626	10233	LRRC23	leucine rich repeat containing 23
ENSG00000010671	695	BTK	Bruton tyrosine kinase
ENSG00000010704	3077	HFE	hemochromatosis
ENSG00000010803	22955	SCMH1	sex comb on midleg homolog 1 (Drosophila)
ENSG00000010810	2534	FYN	FYN proto-oncogene, Src family tyrosine kinase
ENSG00000010818	3097	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
ENSG00000010932	2326	FMO1	flavin containing monooxygenase 1
ENSG00000011007	6924	ELOA	elongin A
ENSG00000011009	11313	LYPLA2	lysophospholipase II
ENSG00000011021	1185	CLCN6	chloride voltage-gated channel 6
ENSG00000011028	9902	MRC2	mannose receptor C type 2
ENSG00000011052	654364	NME1-NME2	NME1-NME2 readthrough
ENSG00000011083	6534	SLC6A7	solute carrier family 6 member 7
ENSG00000011105	10867	TSPAN9	tetraspanin 9
ENSG00000011114	55727	BTBD7	BTB domain containing 7
ENSG00000011132	9546	APBA3	amyloid beta precursor protein binding family A member 3
ENSG00000011143	54903	MKS1	Meckel syndrome, type 1
ENSG00000011198	51099	ABHD5	abhydrolase domain containing 5
ENSG00000011201	3730	ANOS1	anosmin 1
ENSG00000011243	26993	AKAP8L	A-kinase anchoring protein 8 like
ENSG00000011258	54799	MBTD1	mbt domain containing 1
ENSG00000011260	51096	UTP18	UTP18, small subunit processome component
ENSG00000011275	54476	RNF216	ring finger protein 216
ENSG00000011295	54902	TTC19	tetratricopeptide repeat domain 19
ENSG00000011304	5725	PTBP1	polypyrimidine tract binding protein 1
ENSG00000011332	8193	DPF1	double PHD fingers 1
ENSG00000011347	9066	SYT7	synaptotagmin 7
ENSG00000011376	23395	LARS2	leucyl-tRNA synthetase 2, mitochondrial
ENSG00000011405	5286	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011422	5329	PLAUR	plasminogen activator, urokinase receptor
ENSG00000011426	54443	ANLN	anillin actin binding protein
ENSG00000011451	58525	WIZ	widely interspaced zinc finger motifs
ENSG00000011454	2844	GPR21	G protein-coupled receptor 21
ENSG00000011465	1634	DCN	decorin
ENSG00000011478	54814	QPCTL	glutaminyl-peptide cyclotransferase like
ENSG00000011485	5536	PPP5C	protein phosphatase 5 catalytic subunit
ENSG00000011523	23177	CEP68	centrosomal protein 68
ENSG00000011566	8491	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
ENSG00000011590	27033	ZBTB32	zinc finger and BTB domain containing 32
ENSG00000011600	7305	TYROBP	TYRO protein tyrosine kinase binding protein
ENSG00000011638	57146	TMEM159	transmembrane protein 159
ENSG00000011677	2556	GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit
ENSG00000012048	672	BRCA1	BRCA1, DNA repair associated
ENSG00000012061	2067	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
ENSG00000012124	933	CD22	CD22 molecule
ENSG00000012171	7869	SEMA3B	semaphorin 3B
ENSG00000012174	51360	MBTPS2	membrane bound transcription factor peptidase, site 2
ENSG00000012211	4007	PRICKLE3	prickle planar cell polarity protein 3
ENSG00000012223	4057	LTF	lactotransferrin
ENSG00000012232	2137	EXTL3	exostosin like glycosyltransferase 3
ENSG00000012504	9971	NR1H4	nuclear receptor subfamily 1 group H member 4
ENSG00000012660	60481	ELOVL5	ELOVL fatty acid elongase 5
ENSG00000012779	240	ALOX5	arachidonate 5-lipoxygenase
ENSG00000012817	8284	KDM5D	lysine demethylase 5D
ENSG00000012822	57658	CALCOCO1	calcium binding and coiled-coil domain 1
ENSG00000012963	55148	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
ENSG00000012983	11183	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
ENSG00000013016	30845	EHD3	EH domain containing 3
ENSG00000013275	5704	PSMC4	proteasome 26S subunit, ATPase 4
ENSG00000013288	23324	MAN2B2	mannosidase alpha class 2B member 2
ENSG00000013293	57709	SLC7A14	solute carrier family 7 member 14
ENSG00000013297	5010	CLDN11	claudin 11
ENSG00000013306	51629	SLC25A39	solute carrier family 25 member 39
ENSG00000013364	9961	MVP	major vault protein
ENSG00000013374	51667	NUB1	negative regulator of ubiquitin like proteins 1
ENSG00000013375	5238	PGM3	phosphoglucomutase 3
ENSG00000013392	112611	RWDD2A	RWD domain containing 2A
ENSG00000013441	1195	CLK1	CDC like kinase 1
ENSG00000013503	55703	POLR3B	RNA polymerase III subunit B
ENSG00000013523	23357	ANGEL1	angel homolog 1
ENSG00000013561	9604	RNF14	ring finger protein 14
ENSG00000013563	1774	DNASE1L1	deoxyribonuclease 1 like 1
ENSG00000013573	1663	DDX11	DEAD/H-box helicase 11
ENSG00000013583	50865	HEBP1	heme binding protein 1
ENSG00000013588	9052	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000013619	10046	MAMLD1	mastermind like domain containing 1
ENSG00000013725	923	CD6	CD6 molecule
ENSG00000013810	10460	TACC3	transforming acidic coiled-coil containing protein 3
ENSG00000014123	23376	UFL1	UFM1 specific ligase 1
ENSG00000014138	23649	POLA2	DNA polymerase alpha 2, accessory subunit
ENSG00000014164	23144	ZC3H3	zinc finger CCCH-type containing 3
ENSG00000014216	823	CAPN1	calpain 1
ENSG00000014257	55	ACPP	acid phosphatase, prostate
ENSG00000014641	4190	MDH1	malate dehydrogenase 1
ENSG00000014824	10463	SLC30A9	solute carrier family 30 member 9
ENSG00000014914	10903	MTMR11	myotubularin related protein 11
ENSG00000014919	1355	COX15	COX15, cytochrome c oxidase assembly homolog
ENSG00000015133	440193	CCDC88C	coiled-coil domain containing 88C
ENSG00000015153	10138	YAF2	YY1 associated factor 2
ENSG00000015171	10771	ZMYND11	zinc finger MYND-type containing 11
ENSG00000015285	7454	WAS	Wiskott-Aldrich syndrome
ENSG00000015413	1800	DPEP1	dipeptidase 1 (renal)
ENSG00000015475	637	BID	BH3 interacting domain death agonist
ENSG00000015479	9782	MATR3	matrin 3
ENSG00000015520	29881	NPC1L1	NPC1 like intracellular cholesterol transporter 1
ENSG00000015532	64132	XYLT2	xylosyltransferase 2
ENSG00000015568	84220	RGPD5	RANBP2-like and GRIP domain containing 5
ENSG00000015592	81551	STMN4	stathmin 4
ENSG00000015676	23386	NUDCD3	NudC domain containing 3
ENSG00000016082	3670	ISL1	ISL LIM homeobox 1
ENSG00000016391	55349	CHDH	choline dehydrogenase
ENSG00000016402	53832	IL20RA	interleukin 20 receptor subunit alpha
ENSG00000016490	1179	CLCA1	chloride channel accessory 1
ENSG00000016602	22802	CLCA4	chloride channel accessory 4
ENSG00000016864	55830	GLT8D1	glycosyltransferase 8 domain containing 1
ENSG00000017260	27032	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
ENSG00000017427	3479	IGF1	insulin like growth factor 1
ENSG00000017483	92745	SLC38A5	solute carrier family 38 member 5
ENSG00000017797	10928	RALBP1	ralA binding protein 1
ENSG00000018189	22902	RUFY3	RUN and FYVE domain containing 3
ENSG00000018236	1272	CNTN1	contactin 1
ENSG00000018280	6556	SLC11A1	solute carrier family 11 member 1
ENSG00000018408	25937	WWTR1	WW domain containing transcription regulator 1
ENSG00000018510	8540	AGPS	alkylglycerone phosphate synthase
ENSG00000018610	63932	CXorf56	chromosome X open reading frame 56
ENSG00000018625	477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
ENSG00000018699	55622	TTC27	tetratricopeptide repeat domain 27
ENSG00000018869	147948	ZNF582	zinc finger protein 582
ENSG00000019102	23584	VSIG2	V-set and immunoglobulin domain containing 2
ENSG00000019144	23187	PHLDB1	pleckstrin homology like domain family B member 1
ENSG00000019169	8685	MARCO	macrophage receptor with collagenous structure
ENSG00000019186	1591	CYP24A1	cytochrome P450 family 24 subfamily A member 1
ENSG00000019485	56981	PRDM11	PR/SET domain 11
ENSG00000019505	57586	SYT13	synaptotagmin 13
ENSG00000019549	6591	SNAI2	snail family transcriptional repressor 2
ENSG00000019582	972	CD74	CD74 molecule
ENSG00000019991	3082	HGF	hepatocyte growth factor
ENSG00000019995	54764	ZRANB1	zinc finger RANBP2-type containing 1
ENSG00000020129	23154	NCDN	neurochondrin
ENSG00000020181	25960	ADGRA2	adhesion G protein-coupled receptor A2
ENSG00000020256	55734	ZFP64	ZFP64 zinc finger protein
ENSG00000020426	4331	MNAT1	MNAT1, CDK activating kinase assembly factor
ENSG00000020577	23034	SAMD4A	sterile alpha motif domain containing 4A
ENSG00000020633	864	RUNX3	runt related transcription factor 3
ENSG00000020922	4361	MRE11	MRE11 homolog, double strand break repair nuclease
ENSG00000021300	58473	PLEKHB1	pleckstrin homology domain containing B1
ENSG00000021355	1992	SERPINB1	serpin family B member 1
ENSG00000021461	64816	CYP3A43	cytochrome P450 family 3 subfamily A member 43
ENSG00000021488	11136	SLC7A9	solute carrier family 7 member 9
ENSG00000021574	6683	SPAST	spastin
ENSG00000021645	9369	NRXN3	neurexin 3
ENSG00000021762	114879	OSBPL5	oxysterol binding protein like 5
ENSG00000021776	9716	AQR	aquarius intron-binding spliceosomal factor
ENSG00000021826	1373	CPS1	carbamoyl-phosphate synthase 1
ENSG00000021852	732	C8B	complement C8 beta chain
ENSG00000022267	2273	FHL1	four and a half LIM domains 1
ENSG00000022277	51507	RTFDC1	replication termination factor 2 domain containing 1
ENSG00000022355	2554	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit
ENSG00000022556	55655	NLRP2	NLR family pyrin domain containing 2
ENSG00000022567	57210	SLC45A4	solute carrier family 45 member 4
ENSG00000022840	9921	RNF10	ring finger protein 10
ENSG00000022976	55778	ZNF839	zinc finger protein 839
ENSG00000023041	64429	ZDHHC6	zinc finger DHHC-type containing 6
ENSG00000023171	57476	GRAMD1B	GRAM domain containing 1B
ENSG00000023191	6050	RNH1	ribonuclease/angiogenin inhibitor 1
ENSG00000023228	4719	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
ENSG00000023287	9821	RB1CC1	RB1 inducible coiled-coil 1
ENSG00000023318	23071	ERP44	endoplasmic reticulum protein 44
ENSG00000023330	211	ALAS1	5'-aminolevulinate synthase 1
ENSG00000023445	330	BIRC3	baculoviral IAP repeat containing 3
ENSG00000023516	11215	AKAP11	A-kinase anchoring protein 11
ENSG00000023572	51022	GLRX2	glutaredoxin 2
ENSG00000023608	6617	SNAPC1	small nuclear RNA activating complex polypeptide 1
ENSG00000023697	51071	DERA	deoxyribose-phosphate aldolase
ENSG00000023734	11171	STRAP	serine/threonine kinase receptor associated protein
ENSG00000023839	1244	ABCC2	ATP binding cassette subfamily C member 2
